work_place,work_type,work_time,work_count,work_name
北京,技术类,2017-12-20,1,MIG16-位置大数据机器学习/深度学习算法研究员（北京）
北京,技术类,2017-12-20,1,WXG08-122 微信数据挖掘算法高级工程师（北京）
北京,技术类,2017-12-20,1,OMG097-测试开发工程师（北京）
北京,技术类,2017-12-20,2,OMG236-腾讯视频推荐算法高级工程师（北京）
北京,技术类,2017-12-20,1,23671-高级数据分析开发工程师(北京）
北京,技术类,2017-12-20,1,22090-天天快报-文本分析与挖掘高级工程师（北京）
北京,技术类,2017-12-20,1,WXG08-121 微信机器学习算法工程师（北京）
北京,技术类,2017-12-20,3,23674-腾讯新闻高级系统测试工程师
北京,技术类,2017-12-20,1,SA-腾讯社交广告高级系统测试工程师（北京）
北京,技术类,2017-12-19,2,22989-腾讯云高级后台开发工程师（北京）
北京,技术类,2017-12-19,2,22989-云计算研发工程师（北京）
北京,技术类,2017-12-19,3,22989-腾讯云高级后台开发(互联网业务)（北京）
北京,技术类,2017-12-19,1,OMG097-数据挖掘工程师(北京）
北京,技术类,2017-12-18,2,23674-搜索架构高级工程师
北京,产品/项目类,2017-12-18,1,22090-天天快报-数据产品组组长（北京）
北京,技术类,2017-12-19,3,TEG02-控制器研发工程师（北京）
北京,技术类,2017-12-19,1,22989-高级图像处理算法工程师（北京）
北京,技术类,2017-12-19,1,WXG08-121 微信模式识别自然语言处理算法工程师（北京）
北京,技术类,2017-12-18,2,23674-新闻搜索算法高级工程师
北京,技术类,2017-12-18,1,OMG097-后台开发高级工程师(北京）
北京,技术类,2017-12-18,1,MIG03-数据评测工程师（北京）
北京,技术类,2017-12-16,2,OMG097-数据挖掘工程师(北京）
北京,技术类,2017-12-15,3,MIG07-系统安全研究员（北京）
北京,技术类,2017-12-15,1,SA-腾讯社交广告联盟策略开发工程师（北京）
北京,技术类,2017-12-14,1,23048-内容推荐算法高级工程师（北京）
北京,技术类,2017-12-18,1,MIG16-地图专题数据后台开发工程师-功能方向（北京）
北京,技术类,2017-12-15,3,MIG07-系统安全研究员（北京）
北京,技术类,2017-12-15,2,MIG16-地图数据高级后台工程师（北京）
北京,技术类,2017-12-14,1,TEG05-高级安全数据研究员(北京）
北京,技术类,2017-12-14,2,SA-腾讯社交广告算法工程师（质量研发中心 北京）
北京,技术类,2017-12-13,2,22989-腾讯云大客户售后高级顾问（北京）
北京,技术类,2017-12-13,2,22989-腾讯云行业架构师（北京）
北京,技术类,2017-12-12,1,WXG02-116 测试开发工程师
北京,技术类,2017-12-11,1,15503-系统漏洞研究工程师（北京）
北京,产品/项目类,2017-12-07,1,22989-腾讯云AI行业方案专家（北京）
北京,技术类,2017-12-13,2,23674-腾讯新闻大数据分析工程师
北京,技术类,2017-12-13,1,MIG16-腾讯地图自然语言处理高级工程师(北京)
北京,技术类,2017-12-12,1,OMG236-腾讯视频搜索数据模型高级工程师(北京)
北京,技术类,2017-12-11,1,23671-数据开发工程师（北京）
北京,技术类,2017-12-06,1,22989-腾讯云PAAS产品中心高级后端开发（北京）
北京,技术类,2017-12-06,1,WXG08-121 模式识别机器学习（高级）算法工程师（北京）
北京,技术类,2017-12-05,1,MIG07-企业安全运营工程师（北京）
北京,技术类,2017-12-05,0,OMG097-业务运维（北京）
北京,技术类,2017-12-04,2,TEG11-机器翻译语料挖掘工程师（北京）
北京,技术类,2017-12-04,1,TEG13-图像OCR算法工程师(北京)
北京,技术类,2017-12-06,1,WXG08-121 模式识别自然语言处理（高级）算法工程师（北京）
北京,技术类,2017-12-05,4,SNG02-自然语言处理高级研发工程师（北京）
北京,技术类,2017-12-04,1,WXG08-113 微信搜索后台开发高级工程师（北京）
北京,技术类,2017-12-04,2,22086-数据挖掘工程师(北京）
北京,技术类,2017-12-02,1,MIG03-腾讯地图高级算法评测工程师（北京）
北京,技术类,2017-12-01,1,22989-C++后台开发工程师（北京）
北京,技术类,2017-12-01,1,22989-分布式存储高级研发工程师（北京）
北京,技术类,2017-11-27,1,MIG16-地图导航后台开发工程师(北京)
北京,技术类,2017-11-26,1,23048-翻译君后台开发高级工程师（北京）
北京,技术类,2017-11-21,2,TEG03-高级算法研发工程师（深圳）
北京,技术类,2017-12-01,1,22989-云存储资深研发工程师（北京）
北京,技术类,2017-12-01,1,MIG15-自然语言处理高级算法研究员
北京,技术类,2017-11-26,1,SA-腾讯社交广告定向系统开发工程师（北京）
北京,技术类,2017-11-22,2,OMG236-腾讯视频自然语言处理高级工程师（北京）
北京,技术类,2017-11-21,1,17757-高级数据挖掘工程师（北京）
北京,技术类,2017-11-21,3,MIG16-地图导航惯导开发工程师（北京）
北京,技术类,2017-11-13,1,TEG17-AI LAB语音识别研发工程师(深圳）
北京,技术类,2017-11-08,1,MIG16-地图众包业务后台开发高级工程师（北京）
北京,技术类,2017-11-06,2,MIG16-自动驾驶数据平台大数据高级系统架构师(北京)
北京,技术类,2017-11-03,1,MIG16-地图POI数据挖掘高级研发工程师（北京）
北京,技术类,2017-11-16,1,SNG02-腾讯云汽车行业方案架构师（北京/上海/深圳）
北京,技术类,2017-11-08,1,23674-腾讯新闻后台测试组长
北京,技术类,2017-11-06,0,MIG16-自动驾驶数据平台高级后台开发工程师(北京)
北京,技术类,2017-11-03,1,MIG16-地图POI数据自然语言处理工程师（北京）
北京,技术类,2017-11-02,1,MIG16-地图后台高级研发工程师-融合方向（北京）
北京,技术类,2017-11-01,3,MIG16-AI算法研究（北京）
北京,技术类,2017-11-01,1,MIG16-基础架构工程师（北京）
北京,技术类,2017-10-30,2,MIG16-腾讯地图导航/步行骑行/公交后台开发工程师(北京)
北京,技术类,2017-10-26,1,MIG16-自动驾驶融合感知(北京)
北京,技术类,2017-10-26,1,MIG16-自动驾驶融合定位(北京)
北京,技术类,2017-11-01,2,MIG16-运营后台开发工程师（北京）
北京,技术类,2017-11-01,1,MIG16-地图大数据挖掘工程师（北京）
北京,技术类,2017-10-30,1,22090-天天快报-图像算法工程师（北京）
北京,技术类,2017-10-26,1,MIG16-自动驾驶深度学习(北京)
北京,技术类,2017-10-25,1,MIG16-计算机视觉高级算法工程师（北京）
北京,技术类,2017-09-27,1,23048-翻译君语料数据工程师（北京）
北京,技术类,2017-09-27,2,SA-腾讯社交广告测试开发工程师（北京）
